ACFT_SERIES,ICAO,ENGINE_ID,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
A300B2 103,A30B,3GE070,CF6-50C,2,A30B,A300B4-203,J
A300B2 1C,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B2 203,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B2 2C,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B2K 3C,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B4 103,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B4 103 F,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B4 203,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B4 203 F,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300B4 601,A306,2GE036,CF6-80C2A1,2,A306,A300B4-601,J
A300B4 603,A306,2GE038,CF6-80C2A3,2,A306,A300B4-601,J
A300B4 605R,A306,2GE039,CF6-80C2A5,2,A306,A300B4-601,J
A300B4 605R F,A306,2GE039,CF6-80C2A5,2,A306,A300B4-601,J
A300B4 608ST,A3ST,2GE040,CF6-80C2A8,2,A3ST,A300B4-608ST,J
A300B4 620,A306,1PW030,JT9D-7R4H1,2,A306,A300B4-622,J
A300B4 622 F,A306,1PW048,PW4158,2,A306,A300B4-622,J
A300B4 622R,A306,1PW048,PW4158,2,A306,A300B4-622,J
A300B4 622R F,A306,1PW048,PW4158,2,A306,A300B4-622,J
A300C4 203 F,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300C4 605F,A306,2GE039,CF6-80C2A5,2,A306,A300B4-601,J
A300C4 605F,A306,3GE056,CF6-80C2A5F,2,A306,A300B4-601,J
A300C4 620,A306,1PW030,JT9D-7R4H1,2,A306,A300B4-622,J
A300F4 203,A30B,3GE074,CF6-50C2,2,A30B,A300B4-203,J
A300F4 605R,A306,2GE039,CF6-80C2A5,2,A306,A300B4-601,J
A300F4 605R,A306,3GE056,CF6-80C2A5F,2,A306,A300B4-601,J
A300F4 622R,A306,1PW048,PW4158,2,A306,A300B4-622,J
A310 203,A310,1GE013,CF6-80A3,2,A310,A310-204,J
A310 203 F,A310,1GE013,CF6-80A3,2,A310,A310-204,J
A310 204,A310,2GE037,CF6-80C2A2,2,A310,A310-204,J
A310 221 F,A310,1PW026,JT9D-7R4D1,2,A310,A310-222,J
A310 222,A310,1PW027,JT9D-7R4E1,2,A310,A310-222,J
A310 222 F,A310,1PW027,JT9D-7R4E1,2,A310,A310-222,J
A310 304,A310,2GE037,CF6-80C2A2,2,A310,A310-308,J
A310 304 F,A310,2GE037,CF6-80C2A2,2,A310,A310-308,J
A310 304ET,A310,2GE037,CF6-80C2A2,2,A310,A310-308,J
A310 304MRTT,A310,2GE037,CF6-80C2A2,2,A310,A310-308,J
A310 308,A310,2GE037,CF6-80C2A2,2,A310,A310-308,J
A310 308,A310,2GE040,CF6-80C2A8,2,A310,A310-308,J
A310 308 F,A310,2GE040,CF6-80C2A8,2,A310,A310-308,J
A310 322,A310,1PW027,JT9D-7R4E1,2,A310,A310-322,J
A310 322ET,A310,1PW027,JT9D-7R4E1,2,A310,A310-322,J
A310 324,A310,1PW045,PW4152,2,A310,A310-324,J
A310 324 F,A310,1PW045,PW4152,2,A310,A310-324,J
A310 324ET,A310,1PW045,PW4152,2,A310,A310-324,J
A310 324ET F,A310,1PW045,PW4152,2,A310,A310-324,J
A310 325,A310,1PW047,PW4156A,2,A310,A310-324,J
A310 325ET,A310,1PW047,PW4156A,2,A310,A310-324,J
A318 111,A318,7CM048,CFM56-5B8/P,2,A318,A318-112,J
